ID,Gender,Ever_Married,Graduated,Spending_Score,Segmentation
467773,Male,Yes,Yes,High,C
465425,Female,No,No,Low,B
462318,Female,Yes,No,Average,A
466078,Female,Yes,No,Low,A
460792,Female,No,No,Low,A
460197,Male,No,Yes,Low,A
459375,Male,Yes,No,High,A
463862,Male,Yes,Yes,Average,C
460144,Female,No,Yes,Low,A
462721,Female,Yes,No,High,D
459637,Female,No,No,Low,C
465809,Female,No,No,Low,B
466915,Female,Yes,No,High,D
467343,Male,No,Yes,Low,B
466268,Female,Yes,Yes,Average,C
464868,Male,Yes,Yes,Low,A
464038,Male,Yes,Yes,Low,A
460176,Female,No,Yes,Low,C
462161,Female,No,Yes,Low,D
464893,Male,Yes,Yes,Low,B
464443,Female,Yes,Yes,Average,B
467619,Male,Yes,Yes,High,B
465974,Male,Yes,Yes,High,C
462075,Female,No,Yes,Low,B
459494,Female,Yes,No,Low,A
466921,Female,No,No,Low,D
463544,Male,Yes,Yes,Average,C
461167,Male,Yes,Yes,High,A
467364,Male,Yes,Yes,Average,C
462408,Male,No,Yes,Low,A
466224,Female,No,Yes,Low,C
465151,Male,Yes,Yes,Low,B
467216,Female,No,Yes,Low,D
460586,Male,No,Yes,Low,A
461197,Male,No,No,Low,D
462776,Female,Yes,Yes,Average,C
464088,Male,No,No,Low,D
459471,Female,No,No,Low,C
464695,Male,No,No,Low,D
462331,Female,No,No,Low,D
466523,Male,Yes,Yes,High,B
465337,Female,Yes,No,Low,A
460834,Male,Yes,No,Low,A
466824,Male,Yes,Yes,High,A
461607,Female,Yes,Yes,Average,B
465091,Male,Yes,Yes,Average,C
459532,Female,Yes,Yes,Low,D
466999,Male,No,Yes,Low,D
466597,Female,No,No,Low,D
464075,Female,Yes,Yes,High,B
463394,Male,Yes,Yes,High,B
462163,Female,Yes,Yes,Average,C
463895,Female,Yes,No,Average,B
464767,Female,Yes,No,Average,B
464763,Female,Yes,No,Average,B
460718,Male,Yes,No,Low,D
466374,Male,Yes,No,Low,B
463738,Male,Yes,No,High,A
465967,Male,Yes,No,Low,A
462260,Male,Yes,Yes,Low,C
467234,Female,No,No,Low,D
466573,Female,No,Yes,Low,B
463229,Female,No,No,Low,B
459768,Male,No,No,Low,D
462541,Male,Yes,Yes,High,B
467714,Male,Yes,Yes,Low,A
467730,Male,No,No,Low,D
459474,Male,No,Yes,Low,D
460093,Female,No,Yes,Low,A
467865,Female,No,Yes,Low,A
465758,Female,Yes,No,Low,D
464184,Female,Yes,No,Average,B
462618,Female,No,Yes,Low,D
464226,Female,Yes,Yes,Average,C
465432,Female,Yes,Yes,Average,B
464087,Female,No,No,Low,C
466627,Male,No,No,Low,C
467380,Female,Yes,Yes,Average,C
465842,Female,No,Yes,Low,A
464622,Female,No,No,Low,A
462083,Male,No,No,Low,D
460910,Male,No,Yes,Low,A
460255,Female,No,Yes,Low,A
460109,Male,Yes,Yes,Average,C
464306,Male,No,Yes,Low,B
466835,Male,Yes,No,Average,B
465192,Male,Yes,No,Low,A
463380,Female,Yes,Yes,Low,A
462391,Female,No,No,Low,C
467086,Female,Yes,Yes,Low,A
460306,Female,No,Yes,Low,D
460752,Male,Yes,Yes,Low,A
467264,Male,Yes,No,High,C
461646,Female,Yes,Yes,High,C
463570,Male,Yes,Yes,Average,C
465277,Female,No,Yes,Low,B
467426,Female,Yes,No,Low,B
466258,Female,No,No,Low,B
463719,Female,No,No,Low,D
460032,Male,No,Yes,Low,A
465175,Female,No,No,Low,D
466610,Male,No,No,Low,A
459036,Female,Yes,Yes,Average,A
464047,Male,No,Yes,Low,D
459496,Female,No,Yes,Low,A
459997,Male,No,Yes,Low,A
463382,Female,Yes,Yes,High,B
460967,Male,No,Yes,Low,A
465094,Male,Yes,No,High,B
461229,Female,Yes,Yes,Average,A
466442,Male,No,Yes,Low,D
464527,Male,No,No,Low,A
463560,Female,No,No,Low,D
460011,Male,Yes,Yes,Average,C
467207,Female,No,Yes,Low,B
465177,Female,No,Yes,Low,D
467531,Male,Yes,Yes,Low,D
465409,Female,No,No,Low,D
462842,Male,No,No,Low,D
462124,Male,No,Yes,Low,A
466265,Male,No,No,Low,C
459789,Male,Yes,No,Average,C
464223,Female,Yes,Yes,Low,C
460280,Male,Yes,Yes,Low,D
460331,Female,No,No,Low,A
461494,Male,Yes,No,Average,B
460035,Female,No,Yes,Low,A
463812,Female,Yes,Yes,Average,B
465569,Male,Yes,Yes,High,A
466333,Female,Yes,Yes,Average,C
467668,Female,Yes,Yes,Average,C
462723,Female,Yes,No,Average,B
460909,Female,No,No,Low,D
467777,Male,No,Yes,Low,C
462404,Female,No,Yes,Low,A
461799,Male,Yes,Yes,High,B
459933,Female,Yes,Yes,Low,A
463717,Female,Yes,Yes,Average,C
463652,Female,No,Yes,Low,D
462149,Female,Yes,No,High,D
462769,Female,Yes,No,High,B
465532,Female,Yes,Yes,Average,A
462829,Male,Yes,No,Average,D
459210,Female,Yes,Yes,High,C
464659,Female,No,No,Low,D
461411,Male,No,No,Low,D
467759,Female,Yes,Yes,Low,C
461475,Female,Yes,Yes,Average,C
462714,Female,Yes,Yes,High,B
466890,Male,Yes,Yes,Average,B
462888,Male,Yes,Yes,High,B
467479,Male,Yes,Yes,Average,C
466799,Female,No,No,Low,D
466557,Female,No,No,Low,D
460873,Male,Yes,Yes,Average,B
466776,Male,Yes,Yes,Low,B
459462,Male,Yes,Yes,High,B
465727,Male,No,No,Low,D
462348,Female,Yes,Yes,High,B
460941,Male,Yes,No,Low,A
461629,Male,Yes,Yes,Low,B
459907,Female,Yes,Yes,Average,C
467146,Female,No,No,Low,D
460916,Male,Yes,No,Average,B
459196,Female,No,No,Low,D
465444,Female,No,Yes,Low,B
464186,Female,Yes,Yes,Average,C
466412,Male,Yes,Yes,Average,B
459480,Female,Yes,Yes,Low,A
467880,Female,Yes,Yes,Average,C
460216,Female,No,No,Low,A
467941,Female,No,Yes,Low,A
466090,Male,Yes,Yes,Low,A
462572,Female,Yes,No,Average,A
467443,Male,No,No,Low,A
459701,Male,No,No,Low,B
461139,Female,No,Yes,Low,A
461115,Female,Yes,No,Low,A
459027,Male,Yes,Yes,Average,B
467340,Female,Yes,Yes,High,C
461410,Male,Yes,No,Average,C
460857,Male,No,No,Low,A
464300,Male,Yes,Yes,Low,A
460532,Female,No,No,Low,D
463287,Male,Yes,Yes,Average,C
461392,Male,Yes,Yes,Average,C
461546,Female,Yes,No,Low,A
467780,Male,Yes,Yes,Low,A
462130,Male,Yes,Yes,Average,C
464684,Female,No,No,Low,A
462276,Female,No,Yes,Low,A
462142,Female,No,Yes,Low,B
462417,Male,No,No,Low,D
466463,Female,No,Yes,Low,B
464736,Male,No,Yes,Low,D
459835,Male,Yes,No,Low,D
463855,Female,Yes,Yes,Average,C
460344,Female,Yes,Yes,Average,C
466211,Male,Yes,Yes,Low,C
460139,Male,No,No,Low,D
464126,Female,No,Yes,Low,B
461286,Female,No,No,Low,D
461621,Female,Yes,Yes,High,C
460163,Male,No,No,Low,A
461958,Male,No,No,Low,A
464875,Male,Yes,No,Low,B
464791,Male,Yes,No,High,A
464579,Female,No,No,Low,D
463531,Male,No,Yes,Low,A
462651,Male,Yes,No,High,D
465486,Female,Yes,No,High,C
460882,Male,No,No,Low,D
467162,Female,No,No,Low,D
461298,Female,Yes,Yes,High,C
461595,Female,No,Yes,Low,A
459260,Male,Yes,Yes,Average,C
462772,Male,Yes,Yes,High,B
462941,Male,No,No,Low,D
459143,Male,Yes,No,High,B
464532,Female,Yes,Yes,High,A
460056,Male,No,Yes,Low,C
466761,Female,Yes,Yes,Low,A
465469,Female,No,Yes,Low,C
461886,Male,Yes,Yes,Low,D
465680,Male,Yes,No,Average,D
459316,Male,Yes,Yes,Low,D
465609,Female,No,No,Low,D
467009,Female,No,No,Low,D
461766,Female,Yes,Yes,Low,A
464938,Male,Yes,No,Low,A
462034,Female,Yes,Yes,High,B
464049,Female,No,Yes,Low,C
467925,Female,No,Yes,Low,A
463711,Female,Yes,Yes,Low,A
463846,Female,Yes,Yes,Low,C
462064,Male,Yes,Yes,Average,C
463249,Male,No,No,Low,A
464217,Female,No,No,Low,A
463378,Male,No,Yes,Low,B
463035,Female,Yes,No,Average,D
459656,Male,No,No,Low,D
463114,Male,No,Yes,Low,C
465309,Female,No,No,Low,D
462688,Female,Yes,Yes,Low,D
459255,Female,No,Yes,Low,A
467385,Male,No,No,Low,A
467492,Female,Yes,Yes,Low,A
460789,Male,Yes,Yes,Low,D
467307,Male,Yes,Yes,High,C
464026,Male,No,No,Low,D
462493,Male,Yes,Yes,Average,C
460452,Female,Yes,Yes,Average,B
459322,Male,No,Yes,Low,A
464066,Female,No,Yes,Low,A
461114,Male,Yes,Yes,Average,C
465165,Male,No,Yes,Low,B
464526,Male,Yes,Yes,Average,A
460666,Female,Yes,Yes,Low,A
465417,Male,Yes,Yes,Average,B
464096,Female,No,No,Low,C
464891,Male,Yes,No,Low,A
460107,Male,Yes,Yes,Average,C
467708,Female,No,Yes,Low,D
461873,Male,No,Yes,Low,C
465181,Female,No,Yes,Low,A
467204,Male,No,Yes,Low,D
467320,Female,No,No,Low,D
459468,Male,Yes,No,Average,B
467316,Female,No,Yes,Low,A
466182,Female,No,Yes,Low,C
463757,Male,No,Yes,Low,B
462314,Female,No,No,Low,A
466392,Female,Yes,Yes,Average,B
466652,Female,Yes,Yes,Average,B
461664,Male,Yes,Yes,Average,C
464105,Male,Yes,Yes,Average,C
466790,Male,Yes,Yes,Average,A
463844,Female,Yes,Yes,Low,B
462913,Female,No,Yes,Low,C
465541,Female,Yes,Yes,Average,C
459149,Male,Yes,No,High,B
464508,Male,Yes,Yes,High,C
458999,Male,Yes,Yes,Average,C
459947,Female,No,Yes,Low,B
465500,Male,Yes,Yes,High,C
466009,Female,No,No,Low,C
466338,Female,No,No,Low,A
465122,Female,Yes,Yes,Average,C
465230,Male,Yes,Yes,Average,C
466369,Female,No,No,Low,B
463939,Male,No,No,Low,D
460825,Male,No,Yes,Low,D
461125,Male,Yes,Yes,Low,A
463471,Male,No,Yes,Low,A
467415,Female,No,Yes,Low,D
465879,Male,No,Yes,Low,A
463961,Female,No,No,Low,A
462634,Female,Yes,No,Average,A
463622,Male,No,Yes,Low,C
466624,Female,Yes,No,Average,C
467785,Male,Yes,No,Low,B
461928,Male,Yes,Yes,Low,A
460578,Male,Yes,No,Average,D
460198,Male,No,Yes,Low,D
467468,Female,No,No,Low,D
463581,Female,No,Yes,Low,D
463968,Male,No,No,Low,D
465414,Female,No,No,Low,B
464574,Male,No,No,Low,D
462312,Female,No,Yes,Low,A
467971,Female,No,Yes,Low,D
464746,Male,Yes,No,Average,D
459298,Male,Yes,Yes,Average,C
466414,Male,Yes,Yes,Low,A
460773,Female,Yes,Yes,Average,C
461594,Female,Yes,Yes,Average,C
462713,Female,No,Yes,Low,B
465163,Male,Yes,Yes,Average,C
462222,Male,No,No,Low,D
459342,Female,Yes,No,High,C
463006,Female,No,Yes,Low,D
463029,Male,Yes,No,Average,C
460767,Male,Yes,Yes,Average,A
464319,Female,No,No,Low,A
462828,Male,No,No,Low,D
459873,Male,Yes,Yes,Average,A
461608,Female,Yes,Yes,High,A
465155,Male,Yes,Yes,Low,C
461704,Male,Yes,Yes,Low,A
464826,Male,No,No,Low,D
462677,Female,No,Yes,Low,B
465006,Male,No,Yes,Low,A
463483,Male,Yes,No,High,D
459816,Male,Yes,Yes,Low,D
459002,Female,Yes,No,Low,D
465990,Male,Yes,No,High,D
466044,Male,Yes,No,Average,A
461163,Female,Yes,No,Low,B
467106,Male,Yes,Yes,Average,B
467373,Male,No,Yes,Low,D
461256,Male,No,No,Low,C
459010,Female,Yes,Yes,Average,B
466537,Female,Yes,No,Low,A
459046,Male,Yes,Yes,Low,A
459335,Male,No,Yes,Low,D
462695,Male,Yes,Yes,Low,A
466208,Male,Yes,No,High,C
462128,Male,Yes,Yes,Average,C
467329,Female,No,Yes,Low,C
461609,Female,Yes,Yes,Average,B
464470,Male,Yes,Yes,Average,C
462705,Female,Yes,No,Average,C
465255,Male,No,No,Low,D
462536,Female,Yes,No,High,B
461186,Female,No,No,Low,D
466018,Male,Yes,Yes,Low,C
461385,Male,Yes,No,Low,D
459115,Female,No,No,Low,D
461263,Female,Yes,Yes,Low,A
460027,Female,No,Yes,Low,A
460366,Male,No,No,Low,D
464106,Male,Yes,Yes,Low,A
465696,Female,No,Yes,Low,C
461627,Male,Yes,Yes,Low,C
467963,Male,No,No,Low,D
462437,Male,No,No,Low,D
467543,Male,Yes,Yes,High,B
465206,Male,Yes,Yes,Low,C
463040,Male,Yes,No,High,B
461668,Male,Yes,Yes,Average,C
461955,Male,No,Yes,Low,D
467139,Female,No,Yes,Low,A
459366,Female,Yes,Yes,Low,A
462167,Female,Yes,No,Low,A
466752,Male,Yes,Yes,Low,D
462778,Male,Yes,Yes,Low,D
466902,Male,Yes,Yes,Average,C
459534,Male,Yes,Yes,Average,C
463399,Female,No,No,Low,A
465538,Male,Yes,No,High,D
464878,Male,No,No,Low,D
467599,Female,No,No,Low,D
466226,Female,Yes,Yes,Average,C
463576,Female,No,No,Low,D
464911,Male,Yes,Yes,Average,C
463909,Female,No,Yes,Low,B
466099,Female,Yes,Yes,Low,B
464427,Male,Yes,Yes,Average,C
463951,Male,Yes,No,Average,A
465638,Female,Yes,Yes,Low,C
465289,Male,Yes,Yes,High,A
464219,Male,No,Yes,Low,A
467098,Male,Yes,No,Low,A
467451,Female,Yes,Yes,Low,A
465137,Male,Yes,Yes,Average,C
462289,Male,Yes,Yes,Average,A
467459,Male,Yes,Yes,High,B
460308,Female,No,Yes,Low,A
467647,Male,No,Yes,Low,D
459803,Male,No,Yes,Low,C
465972,Female,No,Yes,Low,D
459414,Female,No,Yes,Low,C
466173,Male,No,No,Low,A
464136,Male,Yes,Yes,Average,A
459286,Female,No,Yes,Low,D
463580,Female,Yes,Yes,Low,D
466636,Female,No,No,Low,C
461064,Male,No,Yes,Low,C
461597,Female,Yes,Yes,Average,B
458990,Female,Yes,No,High,D
461351,Female,No,No,Low,D
464420,Female,Yes,Yes,High,C
462060,Female,Yes,Yes,Average,C
465707,Male,Yes,Yes,Average,C
463733,Female,No,No,Low,D
463960,Male,Yes,Yes,Average,A
462395,Male,Yes,Yes,High,D
461015,Male,Yes,Yes,Average,C
464965,Male,Yes,No,Low,D
466267,Male,Yes,Yes,Average,A
464056,Female,Yes,Yes,Average,C
465898,Female,No,Yes,Low,A
465361,Male,No,No,Low,C
461394,Female,No,No,Low,D
466269,Female,No,No,Low,D
466213,Male,No,No,Low,D
465550,Female,No,Yes,Low,D
463451,Female,No,No,Low,D
463877,Male,Yes,No,Average,A
459499,Female,Yes,No,High,D
463876,Male,Yes,Yes,Average,C
465448,Male,No,No,Low,A
463041,Female,Yes,Yes,Average,B
459325,Male,Yes,No,High,D
467233,Female,No,No,Low,B
465264,Male,Yes,No,Low,A
461811,Female,No,Yes,Low,D
465368,Male,No,No,Low,D
461245,Male,Yes,Yes,Average,A
467693,Male,Yes,Yes,High,B
467879,Female,Yes,Yes,High,C
461499,Female,Yes,No,Average,A
465936,Male,No,Yes,Low,B
459748,Male,Yes,No,High,C
466376,Female,Yes,No,High,B
460215,Male,Yes,Yes,Low,D
462076,Male,Yes,Yes,Low,D
465756,Male,No,No,Low,D
463573,Male,No,No,Low,D
463455,Male,Yes,No,Low,B
460841,Female,No,Yes,Low,D
463959,Female,No,No,Low,B
461792,Female,No,No,Low,D
459118,Male,No,No,Low,D
462791,Female,No,No,Low,D
460852,Male,Yes,No,Low,D
463102,Male,No,No,Low,D
463302,Female,Yes,Yes,High,B
462659,Male,Yes,Yes,Average,A
463408,Male,No,No,Low,D
462071,Male,Yes,No,Low,A
464806,Male,Yes,No,Low,D
463664,Female,No,No,Low,A
467795,Male,No,No,Low,D
459141,Male,Yes,No,Average,D
465900,Female,No,Yes,Low,A
467265,Female,No,No,Low,C
464490,Male,Yes,Yes,High,A
461920,Male,No,Yes,Low,D
460411,Male,Yes,Yes,High,A
466491,Male,Yes,No,High,B
465248,Female,No,No,Low,D
463308,Male,Yes,Yes,Low,A
463478,Male,Yes,Yes,Average,B
465396,Female,Yes,No,Average,D
461954,Female,Yes,No,Average,B
467287,Male,No,Yes,Low,D
463800,Female,No,Yes,Low,A
459894,Female,Yes,Yes,Low,C
459778,Male,Yes,Yes,Average,B
464662,Female,Yes,Yes,High,C
460878,Male,Yes,No,Average,C
462187,Female,No,Yes,Low,C
462675,Male,Yes,Yes,Low,A
461908,Female,No,No,Low,D
461951,Male,No,No,Low,D
465352,Male,Yes,Yes,Average,C
464258,Female,Yes,No,High,B
464215,Male,No,No,Low,D
467561,Male,Yes,Yes,Low,B
460322,Female,Yes,No,Low,A
464665,Female,Yes,No,Average,B
460670,Male,No,Yes,Low,B
461486,Male,Yes,No,Average,C
459526,Female,No,Yes,Low,A
465429,Female,Yes,Yes,Average,C
466492,Female,Yes,Yes,High,A
459489,Male,Yes,Yes,Average,B
459681,Female,Yes,Yes,Average,B
462971,Female,Yes,Yes,Low,C
461233,Male,Yes,Yes,Low,D
461221,Female,No,No,Low,B
464090,Female,No,Yes,Low,A
459863,Male,Yes,No,Low,A
459822,Female,No,Yes,Low,D
462540,Male,Yes,Yes,Low,B
467411,Male,Yes,Yes,High,B
463997,Female,Yes,No,Average,B
464103,Male,Yes,Yes,Average,B
465751,Female,Yes,Yes,Low,C
459797,Male,Yes,Yes,Average,C
460798,Female,No,No,Low,C
464572,Female,Yes,Yes,Low,D
462352,Male,Yes,Yes,Average,B
460513,Male,No,No,Low,D
463228,Female,Yes,Yes,Average,B
464765,Female,Yes,No,Average,A
463720,Female,Yes,Yes,Average,B
460799,Female,No,No,Low,D
460891,Female,Yes,No,Average,C
460311,Male,No,Yes,Low,D
466727,Female,Yes,Yes,Average,B
466157,Male,Yes,Yes,Low,A
465138,Male,No,Yes,Low,A
466361,Female,Yes,Yes,High,B
463154,Female,Yes,No,Low,D
462967,Male,Yes,No,Average,B
460908,Male,No,No,Low,D
467560,Female,Yes,Yes,Low,B
463404,Male,Yes,No,High,B
463281,Male,Yes,No,Average,D
462466,Male,Yes,Yes,High,C
463744,Female,No,Yes,Low,C
464209,Male,Yes,Yes,Average,C
462528,Female,Yes,Yes,Low,C
460061,Male,No,Yes,Low,D
466188,Male,Yes,Yes,Low,B
467914,Female,No,No,Low,D
462758,Male,No,No,Low,D
465704,Male,Yes,No,Low,C
460397,Female,No,Yes,Low,A
466676,Male,No,No,Low,D
465024,Male,Yes,Yes,High,C
461630,Male,Yes,Yes,Average,C
465328,Male,Yes,No,High,A
461220,Female,No,No,Low,D
463935,Male,Yes,Yes,Average,C
460514,Male,Yes,Yes,Low,A
466262,Male,No,Yes,Low,A
467094,Female,No,No,Low,D
459280,Male,Yes,Yes,Low,B
464581,Female,No,No,Low,D
459624,Male,No,No,Low,D
460890,Male,Yes,Yes,Average,C
466415,Male,Yes,No,Low,D
462392,Female,No,Yes,Low,A
459706,Male,Yes,Yes,Average,C
464429,Female,No,Yes,Low,B
467446,Female,No,Yes,Low,A
460528,Male,Yes,Yes,Low,C
459212,Female,Yes,Yes,Average,C
